Age (y),Data,5%,10%,25%,50%,75%,90%,95%
1,Height (in),29.7,30.2,30.9,31.8,32.7,33.4,33.9
1,Height (cm),75.4,76.6,78.6,80.8,83,84.9,86.1
1,50th,41,42,42,43,44,45,46
1,90th,54,55,56,56,57,58,58
1,95th,59,59,60,60,61,62,62
1,95th + 12 mm_Hg,71,71,72,72,73,74,74
2,Height (in),33.4,34,34.9,35.9,36.9,37.8,38.4
2,Height (cm),84.9,86.3,88.6,91.1,93.7,96,97.4
2,50th,45,46,47,48,49,50,51
2,90th,58,58,59,60,61,62,62
2,95th,62,63,63,64,65,66,66
2,95th + 12 mm_Hg,74,75,75,76,77,78,78
3,Height (in),35.8,36.4,37.3,38.4,39.6,40.6,41.2
3,Height (cm),91,92.4,94.9,97.6,100.5,103.1,104.6
3,50th,48,48,49,50,51,53,53
3,90th,60,61,61,62,63,64,65
3,95th,64,65,65,66,67,68,69
3,95th + 12 mm_Hg,76,77,77,78,79,80,81
4,Height (in),38.3,38.9,39.9,41.1,42.4,43.5,44.2
4,Height (cm),97.2,98.8,101.4,104.5,107.6,110.5,112.2
4,50th,50,51,51,53,54,55,55
4,90th,62,63,64,65,66,67,67
4,95th,66,67,68,69,70,70,71
4,95th + 12 mm_Hg,78,79,80,81,82,82,83
5,Height (in),40.8,41.5,42.6,43.9,45.2,46.5,47.3
5,Height (cm),103.6,105.3,108.2,111.5,114.9,118.1,120
5,50th,52,52,53,55,56,57,57
5,90th,64,65,66,67,68,69,70
5,95th,68,69,70,71,72,73,73
5,95th + 12 mm_Hg,80,81,82,83,84,85,85
6,Height (in),43.3,44,45.2,46.6,48.1,49.4,50.3
6,Height (cm),110,111.8,114.9,118.4,122.1,125.6,127.7
6,50th,54,54,55,56,57,58,59
6,90th,67,67,68,69,70,71,71
6,95th,70,71,72,72,73,74,74
6,95th + 12 mm_Hg,82,83,84,84,85,86,86
7,Height (in),45.6,46.4,47.7,49.2,50.7,52.1,53
7,Height (cm),115.9,117.8,121.1,124.9,128.8,132.5,134.7
7,50th,55,55,56,57,58,59,60
7,90th,68,68,69,70,71,72,72
7,95th,72,72,73,73,74,74,75
7,95th + 12 mm_Hg,84,84,85,85,86,86,87
8,Height (in),47.6,48.4,49.8,51.4,53,54.5,55.5
8,Height (cm),121,123,126.5,130.6,134.7,138.5,140.9
8,50th,56,56,57,59,60,61,61
8,90th,69,70,71,72,72,73,73
8,95th,72,73,74,74,75,75,75
8,95th + 12 mm_Hg,84,85,86,86,87,87,87
9,Height (in),49.3,50.2,51.7,53.4,55.1,56.7,57.7
9,Height (cm),125.3,127.6,131.3,135.6,140.1,144.1,146.6
9,50th,57,58,59,60,60,61,61
9,90th,71,71,72,73,73,73,73
9,95th,74,74,75,75,75,75,75
9,95th + 12 mm_Hg,86,86,87,87,87,87,87
10,Height (in),51.1,52,53.7,55.5,57.4,59.1,60.2
10,Height (cm),129.7,132.2,136.3,141,145.8,150.2,152.8
10,50th,58,59,59,60,61,61,62
10,90th,72,73,73,73,73,73,73
10,95th,75,75,76,76,76,76,76
10,95th + 12 mm_Hg,87,87,88,88,88,88,88
11,Height (in),53.4,54.5,56.2,58.2,60.2,61.9,63
11,Height (cm),135.6,138.3,142.8,147.8,152.8,157.3,160
11,50th,60,60,60,61,62,63,64
11,90th,74,74,74,74,74,75,75
11,95th,76,77,77,77,77,77,77
11,95th + 12 mm_Hg,88,89,89,89,89,89,89
12,Height (in),56.2,57.3,59,60.9,62.8,64.5,65.5
12,Height (cm),142.8,145.5,149.9,154.8,159.6,163.8,166.4
12,50th,61,61,61,62,64,65,65
12,90th,75,75,75,75,76,76,76
12,95th,78,78,78,78,79,79,79
12,95th + 12 mm_Hg,90,90,90,90,91,91,91
13,Height (in),58.3,59.3,60.9,62.7,64.5,66.1,67
13,Height (cm),148.1,150.6,154.7,159.2,163.7,167.8,170.2
13,50th,62,62,63,64,65,65,66
13,90th,75,75,75,76,76,76,76
13,95th,79,79,79,79,80,80,81
13,95th and 12 mm_Hg,91,91,91,91,92,92,93
14,Height (in),59.3,60.2,61.8,63.5,65.2,66.8,67.7
14,Height (cm),150.6,153,156.9,161.3,165.7,169.7,172.1
14,50th,63,63,64,65,66,66,66
14,90th,76,76,76,76,77,77,77
14,95th,80,80,80,80,81,81,82
14,95th and 12 mm_Hg,92,92,92,92,93,93,94
15,Height (in),59.7,60.6,62.2,63.9,65.6,67.2,68.1
15,Height (cm),151.7,154,157.9,162.3,166.7,170.6,173
15,50th,64,64,64,65,66,67,67
15,90th,76,76,76,77,77,78,78
15,95th,80,80,80,81,82,82,82
15,95th and 12 mm_Hg,92,92,92,93,94,94,94
16,Height (in),59.9,60.8,62.4,64.1,65.8,67.3,68.3
16,Height (cm),152.1,154.5,158.4,162.8,167.1,171.1,173.4
16,50th,64,64,65,66,66,67,67
16,90th,76,76,76,77,78,78,78
16,95th,80,80,80,81,82,82,82
16,95th and 12 mm_Hg,92,92,92,93,94,94,94
17,Height (in),60,60.9,62.5,64.2,65.9,67.4,68.4
17,Height (cm),152.4,154.7,158.7,163,167.4,171.3,173.7
17,50th,64,64,65,66,66,66,67
17,90th,76,76,77,77,78,78,78
17,95th,80,80,80,81,82,82,82
17,95th and 12 mm_Hg,92,92,92,93,94,94,94
